u v
4.388777555110219830e-01 5.346980664759931612e-01
4.405331206354518581e-01 5.330661322645290356e-01
4.408817635270539936e-01 5.327514668026022138e-01
4.426022862458762752e-01 5.310621242484969695e-01
4.428857715430861153e-01 5.308053229338629553e-01
4.446713216579628591e-01 5.290581162324649034e-01
4.448897795591182369e-01 5.288596068238248238e-01
4.467403338163336568e-01 5.270541082164328373e-01
4.468937875751502475e-01 5.269142978853215142e-01
4.488094005637791040e-01 5.250501002004007711e-01
4.488977955911823137e-01 5.249693805737528640e-01
4.508785797940102480e-01 5.230460921843687050e-01
4.509018036072143798e-01 5.230248428536667937e-01
4.529058116232464459e-01 5.210789567424518598e-01
4.529418275617525524e-01 5.210420841683366389e-01
4.549098196392785121e-01 5.191323563249229389e-01
4.550023350650466147e-01 5.190380761523045727e-01
4.569138276553105782e-01 5.171859762776503944e-01
4.570635133632025560e-01 5.170340681362725066e-01
4.589178356713426443e-01 5.152398294081534935e-01
